route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
23-0,CR_24_25-HD25P3L1-L-Ma-Me-J-01,42840625-CR_24_25-HD25P3L1-L-Ma-Me-J-01,Haluchère Batignolles,0,4161658,2310484,2
23-0,CR_24_25-HD25P3L1-L-Ma-Me-J-01,42840626-CR_24_25-HD25P3L1-L-Ma-Me-J-01,Haluchère Batignolles,0,4161664,2310484,2
23-0,CR_24_25-HD25P3L1-L-Ma-Me-J-01,42840627-CR_24_25-HD25P3L1-L-Ma-Me-J-01,Haluchère Batignolles,0,4161661,2310484,2
23-0,CR_24_25-HD25P3L1-L-Ma-Me-J-01,42840628-CR_24_25-HD25P3L1-L-Ma-Me-J-01,Mendès France - Bellevue,1,4161664,2311483,2
23-0,CR_24_25-HD25P3L1-L-Ma-Me-J-01,42840629-CR_24_25-HD25P3L1-L-Ma-Me-J-01,Mendès France - Bellevue,1,4161658,2311483,2
23-0,CR_24_25-HD25P3L1-L-Ma-Me-J-01,42840630-CR_24_25-HD25P3L1-L-Ma-Me-J-01,Mendès France - Bellevue,1,4161659,2311483,2
10-0,CR_24_25-HD25P3L1-L-Ma-Me-J-01-1101000,42847614-CR_24_25-HD25P3L1-L-Ma-Me-J-01-1101000,Bd de Doulon,1,4161636,1011150,1
10-0,CR_24_25-HD25P3L1-L-Ma-Me-J-01-1000000,42847615-CR_24_25-HD25P3L1-L-Ma-Me-J-01-1000000,Gare de Chantenay,0,4161639,1010151,1
10-0,CR_24_25-HD25P3L1-L-Ma-Me-J-01-1101000,42847626-CR_24_25-HD25P3L1-L-Ma-Me-J-01-1101000,Bd de Doulon,1,4161634,1011150,1
10-0,CR_24_25-HD25P3L1-L-Ma-Me-J-01-1101000,42847627-CR_24_25-HD25P3L1-L-Ma-Me-J-01-1101000,Gare de Chantenay,0,4161638,1010117,1
10-0,CR_24_25-HD25P3L1-L-Ma-Me-J-01-1000000,42847631-CR_24_25-HD25P3L1-L-Ma-Me-J-01-1000000,Bd de Doulon,1,4161635,1011152,1
10-0,CR_24_25-HD25P3L1-L-Ma-Me-J-01-0010000,42847632-CR_24_25-HD25P3L1-L-Ma-Me-J-01-0010000,Gare de Chantenay,0,4161641,1010117,1
10-0,CR_24_25-HD25P3L1-L-Ma-Me-J-01-0010000,42847640-CR_24_25-HD25P3L1-L-Ma-Me-J-01-0010000,Gare de Chantenay,0,4161638,1010117,1
10-0,CR_24_25-HD25P3L1-L-Ma-Me-J-01-0010000,42847641-CR_24_25-HD25P3L1-L-Ma-Me-J-01-0010000,Bd de Doulon,1,4161634,1011150,1
10-0,CR_24_25-HD25P3L1-L-Ma-Me-J-01-0111000,42847684-CR_24_25-HD25P3L1-L-Ma-Me-J-01-0111000,Bd de Doulon,1,4161637,1011152,1
10-0,CR_24_25-HD25P3L1-L-Ma-Me-J-01-0101000,42847689-CR_24_25-HD25P3L1-L-Ma-Me-J-01-0101000,Gare de Chantenay,0,4161640,1010151,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811280-CR_24_25-HS25H1F6-Samedi-21,Gare Sud,1,4124311,C211828,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811281-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124314,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811282-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124311,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811283-CR_24_25-HS25H1F6-Samedi-21,Gare Sud,1,4124313,C211828,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811284-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124312,C210836,1
