shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1210669,47.221691,-1.542809,49151
1210669,47.223580,-1.538367,49152
1210669,47.223580,-1.538367,49161
1210669,47.225540,-1.537349,49162
1210669,47.225540,-1.537349,49171
1210669,47.227083,-1.532712,49172
1210669,47.227083,-1.532712,49181
1210669,47.225505,-1.529183,49182
1210669,47.225505,-1.529183,49191
1210669,47.228240,-1.526524,49192
1210669,47.228240,-1.526524,49201
1210669,47.226054,-1.523045,49202
1210669,47.226054,-1.523045,49211
1210669,47.227001,-1.518714,49212
1210669,47.227001,-1.518714,49221
1210669,47.227559,-1.515541,49222
1210669,47.227559,-1.515541,49231
1210669,47.229744,-1.511060,49232
1210669,47.229744,-1.511060,49241
1210669,47.232238,-1.507125,49242
1210669,47.232238,-1.507125,49251
1210669,47.235620,-1.504132,49252
1210669,47.235620,-1.504132,49261
1210669,47.235870,-1.508363,49262
1210669,47.235870,-1.508363,49271
1210669,47.238630,-1.507401,49272
1210669,47.238630,-1.507401,49281
1210669,47.241027,-1.508567,49282
1210669,47.241027,-1.508567,49291
1210669,47.244252,-1.509704,49292
1210669,47.244252,-1.509704,49301
1210669,47.246528,-1.511474,49302
1210669,47.246528,-1.511474,49311
1210669,47.247536,-1.514130,49312
1210669,47.247536,-1.514130,49321
1210669,47.248804,-1.517289,49322
1211670,47.221497,-1.555810,48832
1211670,47.221497,-1.555810,48841
1211670,47.222820,-1.556986,48842
1211670,47.222820,-1.556986,48851
1211670,47.225455,-1.559242,48852
1211670,47.225455,-1.559242,48861
1211670,47.227962,-1.561387,48862
1211670,47.227962,-1.561387,48871
1211670,47.230873,-1.563784,48872
1211670,47.230873,-1.563784,48881
1211670,47.232621,-1.565243,48882
1211670,47.232621,-1.565243,48891
1211670,47.235797,-1.567891,48892
1211670,47.235797,-1.567891,48901
1211670,47.237980,-1.569856,48902
1211670,47.237980,-1.569856,48911
1211670,47.239674,-1.571515,48912
1211670,47.239674,-1.571515,48921
1211670,47.239736,-1.577996,48922
1211670,47.239736,-1.577996,48931
1211670,47.239378,-1.585073,48932
1211670,47.239378,-1.585073,48941
1211670,47.237918,-1.586113,48942
5411647,47.223676,-1.571614,50392
5411647,47.223676,-1.571614,50401
5411647,47.221102,-1.572971,50402
5411647,47.221102,-1.572971,50411
5411647,47.219529,-1.571184,50412
5411647,47.219529,-1.571184,50421
5411647,47.217714,-1.569062,50422
5411647,47.217714,-1.569062,50431
5411647,47.216681,-1.567089,50432
5411647,47.216681,-1.567089,50441
5411647,47.215227,-1.564157,50442
5411647,47.215227,-1.564157,50451
5411647,47.215696,-1.559303,50452
5411647,47.215696,-1.559303,50461
5411647,47.214461,-1.555743,50462
5411647,47.214461,-1.555743,50471
5411647,47.212325,-1.552970,50472
5411647,47.212325,-1.552970,50481
5411647,47.214134,-1.548953,50482
5411647,47.214134,-1.548953,50491
5411647,47.215956,-1.544871,50492
5411647,47.215956,-1.544871,50501
5411647,47.215932,-1.541769,50502
5411647,47.215932,-1.541769,50511
5411647,47.214252,-1.537466,50512
5410662,47.223954,-1.572170,50632
5410662,47.223954,-1.572170,50641
5410662,47.223805,-1.575378,50642
5410662,47.223805,-1.575378,50651
5410662,47.225009,-1.579384,50652
5410662,47.225009,-1.579384,50661
5410662,47.226399,-1.582673,50662
5410662,47.226399,-1.582673,50671
5410662,47.229027,-1.588021,50672
5410662,47.229027,-1.588021,50681
5410662,47.231118,-1.591770,50682
5410662,47.231118,-1.591770,50691
5410662,47.233875,-1.594859,50692
5410662,47.233875,-1.594859,50701
5410662,47.236255,-1.596559,50702
5410662,47.236255,-1.596559,50711
5410662,47.238484,-1.598377,50712
5410662,47.238484,-1.598377,50721
5410662,47.239567,-1.601253,50722
5410662,47.239567,-1.601253,50731
5410662,47.240202,-1.604246,50732
5410662,47.240202,-1.604246,50741
5410662,47.242476,-1.607914,50742
5410662,47.242476,-1.607914,50751
5410662,47.244497,-1.606189,50752
5410662,47.244497,-1.606189,50761
5410662,47.245681,-1.608811,50762
5410662,47.245681,-1.608811,50771
5410662,47.245159,-1.612377,50772
5410662,47.245159,-1.612377,50781
5410662,47.245802,-1.615719,50782
C211828,47.228243,-1.561762,51892
C211828,47.228243,-1.561762,51901
C211828,47.225791,-1.559674,51902
C211828,47.225791,-1.559674,51911
C211828,47.222213,-1.556585,51912
C211828,47.222213,-1.556585,51921
C211828,47.221526,-1.556033,51922
C211828,47.221526,-1.556033,51931
C211828,47.219769,-1.555633,51932
C211828,47.219769,-1.555633,51941
C211828,47.218053,-1.557243,51942
C211828,47.218053,-1.557243,51951
C211828,47.216669,-1.556843,51952
C211828,47.216669,-1.556843,51961
C211828,47.214461,-1.555743,51962
C211828,47.214461,-1.555743,51971
C211828,47.212325,-1.552970,51972
C211828,47.212325,-1.552970,51981
C211828,47.214134,-1.548953,51982
C211828,47.214134,-1.548953,51991
C211828,47.215956,-1.544871,51992
C211828,47.215956,-1.544871,52001
C211828,47.215932,-1.541769,52002
C210836,47.221497,-1.555810,52092
C210836,47.221497,-1.555810,52101
C210836,47.222820,-1.556986,52102
C210836,47.222820,-1.556986,52111
C210836,47.225455,-1.559242,52112
C210836,47.225455,-1.559242,52121
C210836,47.227962,-1.561387,52122
C210836,47.227962,-1.561387,52131
C210836,47.230873,-1.563784,52132
C210836,47.230873,-1.563784,52141
C210836,47.232621,-1.565243,52142
C210836,47.232621,-1.565243,52151
C210836,47.235797,-1.567891,52152
C210836,47.235797,-1.567891,52161
C210836,47.237980,-1.569856,52162
C210836,47.237980,-1.569856,52171
C210836,47.239674,-1.571515,52172
C210836,47.239674,-1.571515,52181
C210836,47.240872,-1.572720,52182
C210836,47.240872,-1.572720,52191
C210836,47.244322,-1.575383,52192
C210836,47.244322,-1.575383,52201
C210836,47.248934,-1.577037,52202
C210836,47.248934,-1.577037,52211
C210836,47.250843,-1.576622,52212
C210836,47.250843,-1.576622,52221
C210836,47.252811,-1.576200,52222
C210836,47.252811,-1.576200,52231
C210836,47.254883,-1.576118,52232
C210836,47.254883,-1.576118,52241
