stop_id,stop_name,stop_lat,stop_lon
32_1_S17,STOP_32_1_S17,21.030224,105.810914
32_1_S8,STOP_32_1_S8,21.014366,105.841291
32_2_S15,STOP_32_2_S15,21.029673,105.808635
32_2_S16,STOP_32_2_S16,21.030943,105.818608
32_2_S17,STOP_32_2_S17,21.031589,105.822873
32_2_S18,STOP_32_2_S18,21.032516,105.829314
32_2_S19,STOP_32_2_S19,21.031366,105.833491
32_2_S20,STOP_32_2_S20,21.029783,105.838791
32_2_S21,STOP_32_2_S21,21.025799,105.841261
32_2_S22,STOP_32_2_S22,21.023535,105.841270
32_2_S23,STOP_32_2_S23,21.015845,105.841176
34_1_S10,STOP_34_1_S10,21.031589,105.822873
34_1_S11,STOP_34_1_S11,21.032516,105.829314
34_1_S12,STOP_34_1_S12,21.031366,105.833491
34_1_S13,STOP_34_1_S13,21.029783,105.838791
34_1_S14,STOP_34_1_S14,21.028611,105.842824
34_1_S8,STOP_34_1_S8,21.029673,105.808635
34_1_S9,STOP_34_1_S9,21.030943,105.818608
34_2_S12,STOP_34_2_S12,21.029699,105.842224
34_2_S13,STOP_34_2_S13,21.031283,105.839207
34_2_S14,STOP_34_2_S14,21.031933,105.835624
34_2_S15,STOP_34_2_S15,21.032949,105.829158
34_2_S16,STOP_34_2_S16,21.031949,105.823874
34_2_S17,STOP_34_2_S17,21.031067,105.817698
34_2_S18,STOP_34_2_S18,21.030224,105.810914
35A_1_S15,STOP_35A_1_S15,21.013350,105.819841
35A_1_S16,STOP_35A_1_S16,21.016316,105.815641
35A_1_S17,STOP_35A_1_S17,21.017266,105.814075
35A_1_S18,STOP_35A_1_S18,21.019750,105.808966
35A_1_S19,STOP_35A_1_S19,21.018455,105.806888
35A_2_S16,STOP_35A_2_S16,21.018450,105.807258
35A_2_S17,STOP_35A_2_S17,21.019433,105.809453
35A_2_S18,STOP_35A_2_S18,21.017483,105.813406
35A_2_S19,STOP_35A_2_S19,21.016050,105.815891
35A_2_S20,STOP_35A_2_S20,21.014766,105.817625
38_1_S14,STOP_38_1_S14,21.029673,105.808635
38_1_S15,STOP_38_1_S15,21.030943,105.818608
38_1_S16,STOP_38_1_S16,21.031589,105.822873
38_1_S17,STOP_38_1_S17,21.032516,105.829314
38_1_S18,STOP_38_1_S18,21.031366,105.833491
38_1_S19,STOP_38_1_S19,21.029783,105.838791
38_1_S20,STOP_38_1_S20,21.025799,105.841261
38_2_S16,STOP_38_2_S16,21.028533,105.838507
38_2_S17,STOP_38_2_S17,21.027649,105.835041
38_2_S18,STOP_38_2_S18,21.028845,105.832057
38_2_S19,STOP_38_2_S19,21.029516,105.829041
38_2_S20,STOP_38_2_S20,21.028666,105.825308
38_2_S21,STOP_38_2_S21,21.031067,105.817698
38_2_S22,STOP_38_2_S22,21.030224,105.810914
40_2_S30,STOP_40_2_S30,21.025799,105.841261
40_2_S31,STOP_40_2_S31,21.023535,105.841270
41_1_S10,STOP_41_1_S10,21.025033,105.832641
41_1_S11,STOP_41_1_S11,21.020243,105.830360
41_1_S12,STOP_41_1_S12,21.019537,105.833231
41_1_S13,STOP_41_1_S13,21.019183,105.838374
41_1_S14,STOP_41_1_S14,21.015845,105.841176
41_1_S7,STOP_41_1_S7,21.032233,105.839707
41_1_S8,STOP_41_1_S8,21.031252,105.835916
41_1_S9,STOP_41_1_S9,21.027449,105.833691
41_2_S11,STOP_41_2_S11,21.019377,105.837823
41_2_S12,STOP_41_2_S12,21.019613,105.833925
41_2_S13,STOP_41_2_S13,21.020210,105.830570
41_2_S14,STOP_41_2_S14,21.024203,105.832358
41_2_S15,STOP_41_2_S15,21.028866,105.834707
41_2_S8,STOP_41_2_S8,21.014366,105.841291
45_1_S13,STOP_45_1_S13,21.029699,105.842224
45_1_S14,STOP_45_1_S14,21.032233,105.839707
45_2_S19,STOP_45_2_S19,21.029783,105.838791
45_2_S20,STOP_45_2_S20,21.028611,105.842824
49_1_S10,STOP_49_1_S10,21.019377,105.837823
49_1_S11,STOP_49_1_S11,21.019613,105.833925
49_1_S12,STOP_49_1_S12,21.020572,105.826653
49_1_S13,STOP_49_1_S13,21.023128,105.821946
49_1_S14,STOP_49_1_S14,21.024100,105.816691
49_1_S15,STOP_49_1_S15,21.027616,105.809308
49_1_S16,STOP_49_1_S16,21.028699,105.805975
49_1_S9,STOP_49_1_S9,21.023535,105.841270
49_2_S10,STOP_49_2_S10,21.027876,105.808708
49_2_S11,STOP_49_2_S11,21.024166,105.815908
49_2_S12,STOP_49_2_S12,21.020066,105.816291
49_2_S13,STOP_49_2_S13,21.021050,105.818008
49_2_S14,STOP_49_2_S14,21.023150,105.821508
49_2_S15,STOP_49_2_S15,21.020267,105.826501
49_2_S16,STOP_49_2_S16,21.019537,105.833231
49_2_S17,STOP_49_2_S17,21.019183,105.838374
50_1_S10,STOP_50_1_S10,21.032537,105.829294
50_1_S11,STOP_50_1_S11,21.027299,105.827408
50_1_S12,STOP_50_1_S12,21.023050,105.826341
50_1_S13,STOP_50_1_S13,21.017816,105.823691
50_1_S14,STOP_50_1_S14,21.015366,105.819591
50_1_S15,STOP_50_1_S15,21.016316,105.815641
50_1_S16,STOP_50_1_S16,21.013533,105.812525
50_1_S17,STOP_50_1_S17,21.013357,105.807867
50_1_S9,STOP_50_1_S9,21.031933,105.835624
50_2_S11,STOP_50_2_S11,21.014300,105.806208
50_2_S13,STOP_50_2_S13,21.014483,105.813425
50_2_S14,STOP_50_2_S14,21.016050,105.815891
50_2_S15,STOP_50_2_S15,21.014766,105.817625
50_2_S16,STOP_50_2_S16,21.016066,105.820724
50_2_S17,STOP_50_2_S17,21.017766,105.823958
50_2_S18,STOP_50_2_S18,21.019683,105.824974
50_2_S19,STOP_50_2_S19,21.023116,105.826658
50_2_S20,STOP_50_2_S20,21.027999,105.827491
50_2_S21,STOP_50_2_S21,21.029399,105.830074
50_2_S22,STOP_50_2_S22,21.028516,105.832641
50_2_S23,STOP_50_2_S23,21.028866,105.834707
51_1_S18,STOP_51_1_S18,21.013357,105.807867
51_2_S9,STOP_51_2_S9,21.014300,105.806208
84_2_S16,STOP_84_2_S16,21.013350,105.819841
86_1_S1,STOP_86_1_S1,21.024033,105.841290
86_2_S12,STOP_86_2_S12,21.024033,105.841290
90_1_S1,STOP_90_1_S1,21.032233,105.829574
90_1_S2,STOP_90_1_S2,21.028666,105.825308
90_1_S3,STOP_90_1_S3,21.031067,105.817698
90_1_S4,STOP_90_1_S4,21.032683,105.813575
90_2_S18,STOP_90_2_S18,21.033066,105.813341
90_2_S19,STOP_90_2_S19,21.030943,105.818608
90_2_S20,STOP_90_2_S20,21.031589,105.822873
90_2_S21,STOP_90_2_S21,21.032233,105.829574
99_1_S1,STOP_99_1_S1,21.032233,105.829574
99_1_S2,STOP_99_1_S2,21.027299,105.827408
99_1_S3,STOP_99_1_S3,21.023050,105.826341
99_1_S4,STOP_99_1_S4,21.020267,105.826501
99_1_S5,STOP_99_1_S5,21.017133,105.830991
99_1_S6,STOP_99_1_S6,21.014883,105.833457
99_2_S27,STOP_99_2_S27,21.015266,105.833341
99_2_S28,STOP_99_2_S28,21.017218,105.831381
99_2_S29,STOP_99_2_S29,21.020572,105.826653
99_2_S30,STOP_99_2_S30,21.023116,105.826658
99_2_S31,STOP_99_2_S31,21.027999,105.827491
99_2_S32,STOP_99_2_S32,21.032233,105.829574
BRT01_1_S19,STOP_BRT01_1_S19,21.013616,105.812741
BRT01_1_S20,STOP_BRT01_1_S20,21.018316,105.815775
BRT01_1_S21,STOP_BRT01_1_S21,21.024816,105.820908
BRT01_1_S22,STOP_BRT01_1_S22,21.029083,105.826141
BRT01_1_S23,STOP_BRT01_1_S23,21.032199,105.829191
BRT01_2_S1,STOP_BRT01_2_S1,21.032199,105.829191
BRT01_2_S2,STOP_BRT01_2_S2,21.029083,105.826141
BRT01_2_S3,STOP_BRT01_2_S3,21.024816,105.820908
BRT01_2_S4,STOP_BRT01_2_S4,21.018316,105.815775
BRT01_2_S5,STOP_BRT01_2_S5,21.013616,105.812741
