route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,peak_offpeak,boarding_type
line:61,1900373,27_1197773,Balma-Gramont,0,11970,0,0
line:61,1900374,27_1197774,Balma-Gramont,0,11970,0,0
line:61,1900375,27_1197775,Balma-Gramont,0,11970,0,0
line:61,1900376,27_1197776,Balma-Gramont,0,11970,0,0
line:61,1900377,27_1197777,Balma-Gramont,0,11970,0,0
line:61,1900378,27_1197778,Balma-Gramont,0,11970,0,0
line:61,1900379,27_1197779,Balma-Gramont,0,11970,0,0
line:61,1900380,27_1197780,Balma-Gramont,0,11970,0,0
line:61,1900381,27_1197781,Balma-Gramont,0,11970,0,0
line:61,1900382,27_1197782,Balma-Gramont,0,11970,0,0
line:61,1900383,27_1197783,Balma-Gramont,0,11970,0,0
line:61,1900384,27_1197784,Balma-Gramont,0,11970,0,0
line:61,1900385,27_1197785,Balma-Gramont,0,11970,0,0
line:61,1900386,27_1197786,Balma-Gramont,0,11970,0,0
line:61,1900387,27_1197787,Balma-Gramont,0,11970,0,0
line:61,1900388,27_1197788,Balma-Gramont,0,11970,0,0
line:61,1900389,27_1197789,Balma-Gramont,0,11970,0,0
line:61,1900390,27_1197790,Balma-Gramont,0,11970,0,0
line:61,1900391,27_1197791,Balma-Gramont,0,11970,0,0
line:61,1900392,27_1197792,Balma-Gramont,0,11970,0,0
line:61,1900393,27_1197793,Balma-Gramont,0,11970,0,0
line:61,1900394,27_1197794,Balma-Gramont,0,11970,0,0
line:61,1900395,27_1197795,Balma-Gramont,0,11970,0,0
line:61,1900396,27_1197796,Balma-Gramont,0,11970,0,0
line:61,1900397,27_1197797,Balma-Gramont,0,11970,0,0
line:61,1900398,27_1197798,Balma-Gramont,0,11970,0,0
line:61,1900399,27_1197799,Balma-Gramont,0,11970,0,0
line:61,1900400,27_1197800,Balma-Gramont,0,11970,0,0
line:61,1900401,27_1197801,Balma-Gramont,0,11970,0,0
line:61,1900402,27_1197802,Balma-Gramont,0,11970,0,0
line:61,1900403,27_1197803,Balma-Gramont,0,11970,0,0
line:61,1900404,27_1197804,Balma-Gramont,0,11970,0,0
line:61,1900405,27_1197805,Balma-Gramont,0,11970,0,0
line:61,1900406,27_1197806,Balma-Gramont,0,11970,0,0
line:61,1900407,27_1197807,Balma-Gramont,0,11970,0,0
line:61,1900408,27_1197808,Balma-Gramont,0,11970,0,0
line:61,1900409,27_1197809,Balma-Gramont,0,11970,0,0
line:61,1900410,27_1197810,Balma-Gramont,0,11970,0,0
line:61,1900411,27_1197811,Balma-Gramont,0,11970,0,0
line:61,1900412,27_1197812,Balma-Gramont,0,11970,0,0
line:61,1900413,27_1197813,Balma-Gramont,0,11970,0,0
line:61,1900414,27_1197814,Balma-Gramont,0,11970,0,0
line:61,1900415,27_1197815,Balma-Gramont,0,11970,0,0
line:61,1900416,27_1197816,Balma-Gramont,0,11970,0,0
line:61,1900417,27_1197817,Balma-Gramont,0,11970,0,0
line:61,1900418,27_1197818,Balma-Gramont,0,11970,0,0
line:61,1900419,27_1197819,Balma-Gramont,0,11970,0,0
line:61,1900420,27_1197820,Balma-Gramont,0,11970,0,0
line:61,1900421,27_1197821,Balma-Gramont,0,11970,0,0
line:61,1900422,27_1197822,Balma-Gramont,0,11970,0,0
line:61,1900423,27_1197823,Balma-Gramont,0,11970,0,0
line:61,1900424,27_1197824,Balma-Gramont,0,11970,0,0
line:61,1900425,27_1197825,Balma-Gramont,0,11970,0,0
line:61,1900426,27_1197826,Balma-Gramont,0,11970,0,0
line:61,1900427,27_1197827,Balma-Gramont,0,11970,0,0
line:61,1900428,27_1197828,Balma-Gramont,0,11970,0,0
line:61,1900429,27_1197829,Balma-Gramont,0,11970,0,0
line:61,1900430,27_1197830,Balma-Gramont,0,11970,0,0
line:61,1900431,27_1197831,Balma-Gramont,0,11970,0,0
line:61,1900432,27_1197832,Balma-Gramont,0,11970,0,0
line:61,1900433,27_1197833,Balma-Gramont,0,11970,0,0
line:61,1900434,27_1197834,Balma-Gramont,0,11970,0,0
line:61,1900435,27_1197835,Balma-Gramont,0,11970,0,0
line:61,1900436,27_1197836,Balma-Gramont,0,11970,0,0
line:61,1900437,27_1197837,Balma-Gramont,0,11970,0,0
line:61,1900438,27_1197838,Balma-Gramont,0,11970,0,0
line:61,1900439,27_1197839,Balma-Gramont,0,11970,0,0
line:61,1900440,27_1197840,Balma-Gramont,0,11970,0,0
line:61,1900441,27_1197841,Balma-Gramont,0,11970,0,0
line:61,1900442,27_1197842,Balma-Gramont,0,11970,0,0
line:61,1900443,27_1197843,Balma-Gramont,0,11970,0,0
