route_id,service_id,trip_id,direction_id,trip_headsign,shape_id
line:61,27_1198318,1900917,0,Balma-Gramont,11970
line:61,27_1199412,1902007,0,Balma-Gramont,11970
line:61,27_1198774,1901373,1,Basso Cambo,11971
line:61,27_1198305,1900904,0,Balma-Gramont,11970
line:61,27_1199324,1901920,0,Balma-Gramont,11970
line:61,27_1198638,1901237,1,Basso Cambo,11971
line:61,27_1199323,1901919,0,Balma-Gramont,11970
line:61,27_1197885,1900485,0,Balma-Gramont,11970
line:61,27_1199618,1902211,0,Balma-Gramont,11970
line:61,27_1199202,1901799,0,Balma-Gramont,11970
line:61,27_1198607,1901206,1,Basso Cambo,11971
line:61,27_1199545,1902139,1,Basso Cambo,11971
line:61,27_1198028,1900628,1,Basso Cambo,11971
line:61,27_1197887,1900487,0,Balma-Gramont,11970
line:61,27_1199350,1901946,0,Balma-Gramont,11970
line:61,27_1197922,1900522,0,Balma-Gramont,11970
line:61,27_1199816,1902406,1,Basso Cambo,11971
line:61,27_1197794,1900394,0,Balma-Gramont,11970
line:61,27_1199898,1902484,1,Basso Cambo,11971
line:61,27_1197869,1900469,0,Balma-Gramont,11970
line:61,27_1200004,1902585,0,Balma-Gramont,11970
line:61,27_1197836,1900436,0,Balma-Gramont,11970
line:61,27_1199258,1901855,1,Basso Cambo,11971
line:61,27_1199535,1902129,0,Balma-Gramont,11970
line:61,27_1198919,1901517,0,Balma-Gramont,11970
line:61,27_1197995,1900595,1,Basso Cambo,11971
line:61,27_1198201,1900801,1,Basso Cambo,11971
line:61,27_1197897,1900497,0,Balma-Gramont,11970
line:61,27_1197997,1900597,1,Basso Cambo,11971
line:61,27_1199271,1901868,1,Basso Cambo,11971
line:61,27_1198186,1900786,1,Basso Cambo,11971
line:61,27_1197615,1900215,0,Balma-Gramont,11970
line:61,27_1197597,1900197,0,Balma-Gramont,11970
line:61,27_1199609,1902202,0,Balma-Gramont,11970
line:61,27_1198109,1900709,1,Basso Cambo,11971
line:61,27_1200002,1902583,0,Balma-Gramont,11970
line:61,27_1197595,1900195,0,Balma-Gramont,11970
line:61,27_1198154,1900754,1,Basso Cambo,11971
line:61,27_1198110,1900710,1,Basso Cambo,11971
line:61,27_1198631,1901230,1,Basso Cambo,11971
line:61,27_1200130,1902704,0,Balma-Gramont,11970
line:61,27_1199147,1901744,0,Balma-Gramont,11970
line:61,27_1199058,1901656,1,Basso Cambo,11971
line:61,27_1197651,1900251,0,Balma-Gramont,11970
line:61,27_1197923,1900523,0,Balma-Gramont,11970
line:61,27_1198205,1900805,1,Basso Cambo,11971
line:61,27_1199627,1902220,0,Balma-Gramont,11970
line:61,27_1199182,1901779,0,Balma-Gramont,11970
line:61,27_1197914,1900514,0,Balma-Gramont,11970
line:61,27_1197693,1900293,0,Balma-Gramont,11970
line:61,27_1197828,1900428,0,Balma-Gramont,11970
line:61,27_1197606,1900206,0,Balma-Gramont,11970
line:61,27_1197656,1900256,0,Balma-Gramont,11970
line:61,27_1199462,1902057,1,Basso Cambo,11971
line:61,27_1199221,1901818,1,Basso Cambo,11971
line:61,27_1199115,1901713,1,Basso Cambo,11971
line:61,27_1199226,1901823,1,Basso Cambo,11971
line:61,27_1199763,1902354,1,Basso Cambo,11971
line:61,27_1199837,1902426,0,Balma-Gramont,11970
line:61,27_1199765,1902356,1,Basso Cambo,11971
line:61,27_1199472,1902067,1,Basso Cambo,11971
line:61,27_1199227,1901824,1,Basso Cambo,11971
line:61,27_1199333,1901929,0,Balma-Gramont,11970
line:61,27_1198553,1901152,1,Basso Cambo,11971
line:61,27_1198726,1901325,1,Basso Cambo,11971
line:61,27_1199783,1902374,1,Basso Cambo,11971
line:61,27_1199801,1902391,0,Balma-Gramont,11970
line:61,27_1199727,1902319,1,Basso Cambo,11971
line:61,27_1198070,1900670,1,Basso Cambo,11971
line:61,27_1198134,1900734,1,Basso Cambo,11971
line:61,27_1199534,1902128,0,Balma-Gramont,11970
line:61,27_1198656,1901255,1,Basso Cambo,11971
line:61,27_1198866,1901464,0,Balma-Gramont,11970
line:61,27_1199430,1902025,0,Balma-Gramont,11970
line:61,27_1199905,1902490,1,Basso Cambo,11971
line:61,27_1199269,1901866,1,Basso Cambo,11971
line:61,27_1200126,1902701,1,Basso Cambo,11971
line:61,27_1199475,1902070,1,Basso Cambo,11971
line:61,27_1198037,1900637,1,Basso Cambo,11971
line:61,27_1198068,1900668,1,Basso Cambo,11971
line:61,27_1198842,1901440,0,Balma-Gramont,11970
line:61,27_1197750,1900350,0,Balma-Gramont,11970
line:61,27_1198195,1900795,1,Basso Cambo,11971
line:61,27_1198084,1900684,1,Basso Cambo,11971
line:61,27_1198804,1901402,0,Balma-Gramont,11970
line:61,27_1198655,1901254,1,Basso Cambo,11971
line:61,27_1198664,1901263,1,Basso Cambo,11971
line:61,27_1199640,1902233,1,Basso Cambo,11971
line:61,27_1197768,1900368,0,Balma-Gramont,11970
line:61,27_1199502,1902096,0,Balma-Gramont,11970
line:61,27_1198017,1900617,1,Basso Cambo,11971
line:61,27_1198670,1901269,1,Basso Cambo,11971
line:61,27_1199185,1901782,0,Balma-Gramont,11970
line:61,27_1197652,1900252,0,Balma-Gramont,11970
line:61,27_1197744,1900344,0,Balma-Gramont,11970
line:61,27_1198558,1901157,1,Basso Cambo,11971
line:61,27_1198815,1901413,0,Balma-Gramont,11970
line:61,27_1199236,1901833,1,Basso Cambo,11971
line:61,27_1197974,1900574,1,Basso Cambo,11971
line:61,27_1198732,1901331,1,Basso Cambo,11971
line:61,27_1199354,1901950,1,Basso Cambo,11971
line:61,27_1197664,1900264,0,Balma-Gramont,11970
line:61,27_1198373,1900972,0,Balma-Gramont,11970
line:61,27_1199098,1901696,1,Basso Cambo,11971
line:61,27_1198356,1900955,0,Balma-Gramont,11970
line:61,27_1197765,1900365,0,Balma-Gramont,11970
line:61,27_1198395,1900994,0,Balma-Gramont,11970
line:61,27_1197714,1900314,0,Balma-Gramont,11970
line:61,27_1197734,1900334,0,Balma-Gramont,11970
line:61,27_1199303,1901900,1,Basso Cambo,11971
line:61,27_1198976,1901574,1,Basso Cambo,11971
line:61,27_1198342,1900941,0,Balma-Gramont,11970
line:61,27_1198364,1900963,0,Balma-Gramont,11970
line:61,27_1198073,1900673,1,Basso Cambo,11971
line:61,27_1198033,1900633,1,Basso Cambo,11971
line:61,27_1198421,1901020,0,Balma-Gramont,11970
line:61,27_1199330,1901926,0,Balma-Gramont,11970
line:61,27_1199639,1902232,1,Basso Cambo,11971
line:61,27_1199999,1902580,0,Balma-Gramont,11970
line:61,27_1198307,1900906,0,Balma-Gramont,11970
line:61,27_1199581,1902175,1,Basso Cambo,11971
line:61,27_1197992,1900592,1,Basso Cambo,11971
line:61,27_1199901,1902487,1,Basso Cambo,11971
line:61,27_1199589,1902183,1,Basso Cambo,11971
line:61,27_1198246,1900846,1,Basso Cambo,11971
line:61,27_1199062,1901660,1,Basso Cambo,11971
line:61,27_1198469,1901068,0,Balma-Gramont,11970
line:61,27_1199914,1902498,0,Balma-Gramont,11970
line:61,27_1198359,1900958,0,Balma-Gramont,11970
line:61,27_1199643,1902236,1,Basso Cambo,11971
line:61,27_1198003,1900603,1,Basso Cambo,11971
line:61,27_1198768,1901367,1,Basso Cambo,11971
line:61,27_1198667,1901266,1,Basso Cambo,11971
line:61,27_1199193,1901790,0,Balma-Gramont,11970
line:61,27_1198338,1900937,0,Balma-Gramont,11970
line:61,27_1198128,1900728,1,Basso Cambo,11971
line:61,27_1199607,1902200,0,Balma-Gramont,11970
line:61,27_1197715,1900315,0,Balma-Gramont,11970
line:61,27_1199969,1902551,0,Balma-Gramont,11970
line:61,27_1199651,1902244,1,Basso Cambo,11971
line:61,27_1198922,1901520,0,Balma-Gramont,11970
line:61,27_1197673,1900273,0,Balma-Gramont,11970
line:61,27_1199749,1902340,0,Balma-Gramont,11970
line:61,27_1198157,1900757,1,Basso Cambo,11971
line:61,27_1198170,1900770,1,Basso Cambo,11971
line:61,27_1198672,1901271,1,Basso Cambo,11971
line:61,27_1199863,1902451,0,Balma-Gramont,11970
line:61,27_1198482,1901081,0,Balma-Gramont,11970
line:61,27_1198966,1901564,0,Balma-Gramont,11970
line:61,27_1199405,1902000,0,Balma-Gramont,11970
line:61,27_1198138,1900738,1,Basso Cambo,11971
line:61,27_1197727,1900327,0,Balma-Gramont,11970
line:61,27_1199772,1902363,1,Basso Cambo,11971
line:61,27_1197791,1900391,0,Balma-Gramont,11970
line:61,27_1198341,1900940,0,Balma-Gramont,11970
line:61,27_1199779,1902370,1,Basso Cambo,11971
line:61,27_1198876,1901474,0,Balma-Gramont,11970
line:61,27_1197860,1900460,0,Balma-Gramont,11970
line:61,27_1198243,1900843,1,Basso Cambo,11971
line:61,27_1198715,1901314,1,Basso Cambo,11971
line:61,27_1198753,1901352,1,Basso Cambo,11971
line:61,27_1198185,1900785,1,Basso Cambo,11971
line:61,27_1198298,1900897,0,Balma-Gramont,11970
line:61,27_1200005,1902586,0,Balma-Gramont,11970
line:61,27_1199555,1902149,1,Basso Cambo,11971
line:61,27_1199353,1901949,1,Basso Cambo,11971
line:61,27_1197589,1900189,0,Balma-Gramont,11970
line:61,27_1198590,1901189,1,Basso Cambo,11971
line:61,27_1199574,1902168,1,Basso Cambo,11971
line:61,27_1198219,1900819,1,Basso Cambo,11971
line:61,27_1200001,1902582,0,Balma-Gramont,11970
line:61,27_1197730,1900330,0,Balma-Gramont,11970
line:61,27_1197746,1900346,0,Balma-Gramont,11970
line:61,27_1197985,1900585,1,Basso Cambo,11971
line:61,27_1199862,1902450,0,Balma-Gramont,11970
line:61,27_1198112,1900712,1,Basso Cambo,11971
line:61,27_1199179,1901776,0,Balma-Gramont,11970
line:61,27_1199307,1901904,1,Basso Cambo,11971
line:61,27_1199245,1901842,1,Basso Cambo,11971
line:61,27_1198346,1900945,0,Balma-Gramont,11970
line:61,27_1198484,1901083,0,Balma-Gramont,11970
line:61,27_1198429,1901028,0,Balma-Gramont,11970
line:61,27_1198034,1900634,1,Basso Cambo,11971
line:61,27_1197676,1900276,0,Balma-Gramont,11970
line:61,27_1198791,1901390,1,Basso Cambo,11971
line:61,27_1197947,1900547,1,Basso Cambo,11971
line:61,27_1198624,1901223,1,Basso Cambo,11971
line:61,27_1199184,1901781,0,Balma-Gramont,11970
line:61,27_1199130,1901727,0,Balma-Gramont,11970
line:61,27_1198403,1901002,0,Balma-Gramont,11970
line:61,27_1197761,1900361,0,Balma-Gramont,11970
line:61,27_1199803,1902393,0,Balma-Gramont,11970
line:61,27_1198472,1901071,0,Balma-Gramont,11970
line:61,27_1197596,1900196,0,Balma-Gramont,11970
line:61,27_1197977,1900577,1,Basso Cambo,11971
line:61,27_1198968,1901566,0,Balma-Gramont,11970
line:61,27_1198874,1901472,0,Balma-Gramont,11970
line:61,27_1199440,1902035,1,Basso Cambo,11971
line:61,27_1197924,1900524,0,Balma-Gramont,11970
line:61,27_1198870,1901468,0,Balma-Gramont,11970
line:61,27_1199624,1902217,0,Balma-Gramont,11970
line:61,27_1197593,1900193,0,Balma-Gramont,11970
line:61,27_1197578,1900178,0,Balma-Gramont,11970
line:61,27_1198680,1901279,1,Basso Cambo,11971
line:61,27_1199447,1902042,1,Basso Cambo,11971
line:61,27_1198613,1901212,1,Basso Cambo,11971
line:61,27_1199306,1901903,1,Basso Cambo,11971
line:61,27_1198177,1900777,1,Basso Cambo,11971
line:61,27_1199381,1901977,1,Basso Cambo,11971
line:61,27_1199156,1901753,0,Balma-Gramont,11970
line:61,27_1198574,1901173,1,Basso Cambo,11971
line:61,27_1199446,1902041,1,Basso Cambo,11971
line:61,27_1199092,1901690,1,Basso Cambo,11971
line:61,27_1197853,1900453,0,Balma-Gramont,11970
line:61,27_1198379,1900978,0,Balma-Gramont,11970
line:61,27_1199275,1901872,1,Basso Cambo,11971
